        word            tf        idf
sail                 0.000921   0.000000  
salt-cellar          0.000921   0.000000  
saphead              0.000921   0.000000  
sat                  0.000921   0.000000  
satisfactori         0.000921   0.000000  
satisfi              0.000921   0.000000  
saturdai             0.000921   0.000000  
saw                  0.000921   0.000000  
sawyer               0.000921   0.000000  
sawyer'              0.000921   0.000000  
scatter              0.000921   0.000000  
school               0.000921   0.000000  
scold                0.000921   0.000000  
scoop                0.000921   0.000000  
scrambl              0.000921   0.000000  
scrape               0.000921   0.000000  
scratch              0.000921   0.000000  
scrouch              0.000921   0.000000  
scrunch              0.000921   0.000000  
seat                 0.000921   0.000000  
second               0.000921   0.000000  
seen                 0.000921   0.000000  
self                 0.000921   0.000000  
sell                 0.000921   0.000000  
sent                 0.000921   0.000000  
servant              0.000921   0.000000  
set                  0.000921   0.000000  
sett                 0.000921   0.000000  
settl                0.000921   0.000000  
seven                0.000921   0.000000  
shaki                0.000921   0.000000  
shed                 0.000921   0.000000  
sheet                0.000921   0.000000  
shin                 0.000921   0.000000  
shini                0.000921   0.000000  
shinn                0.000921   0.000000  
shiver               0.000921   0.000000  
shook                0.000921   0.000000  
shoot                0.000921   0.000000  
shot-tow             0.000921   0.000000  
shrivel              0.000921   0.000000  
shuck                0.000921   0.000000  
sick                 0.000921   0.000000  
side                 0.000921   0.000000  
sight                0.000921   0.000000  
silver               0.000921   0.000000  
sinc                 0.000921   0.000000  
sing                 0.000921   0.000000  
sir                  0.000921   0.000000  
sister               0.000921   0.000000  
sivil                0.000921   0.000000  
six                  0.000921   0.000000  
size                 0.000921   0.000000  
skiff                0.000921   0.000000  
sleepi               0.000921   0.000000  
slick                0.000921   0.000000  
slid                 0.000921   0.000000  
slide                0.000921   0.000000  
slim                 0.000921   0.000000  
slip                 0.000921   0.000000  
slipp                0.000921   0.000000  
slogan               0.000921   0.000000  
slow                 0.000921   0.000000  
smelt                0.000921   0.000000  
smoke                0.000921   0.000000  
snap                 0.000921   0.000000  
snore                0.000921   0.000000  
snow                 0.000921   0.000000  
snuff                0.000921   0.000000  
snuffbox             0.000921   0.000000  
sober                0.000921   0.000000  
soft                 0.000921   0.000000  
soldier              0.000921   0.000000  
solid                0.000921   0.000000  
somebodi             0.000921   0.000000  
somebody'            0.000921   0.000000  
somehow              0.000921   0.000000  
someth               0.000921   0.000000  
sometim              0.000921   0.000000  
somewher             0.000921   0.000000  
son                  0.000921   0.000000  
soon                 0.000921   0.000000  
sorri                0.000921   0.000000  
sort                 0.000921   0.000000  
sound                0.000921   0.000000  
spaniard             0.000921   0.000000  
spanish              0.000921   0.000000  
sparkl               0.000921   0.000000  
spec                 0.000921   0.000000  
spell                0.000921   0.000000  
spelling-book        0.000921   0.000000  
spend                0.000921   0.000000  
spi                  0.000921   0.000000  
spider               0.000921   0.000000  
spirit               0.000921   0.000000  
spiritu              0.000921   0.000000  
spite                0.000921   0.000000  
split                0.000921   0.000000  
spread               0.000921   0.000000  
squar                0.000921   0.000000  
stage                0.000921   0.000000  
stai                 0.000921   0.000000  
star                 0.000921   0.000000  
state                0.000921   0.000000  
stead                0.000921   0.000000  
steal                0.000921   0.000000  
steep                0.000921   0.000000  
stick                0.000921   0.000000  
stile                0.000921   0.000000  
still                0.000921   0.000000  
stiller              0.000921   0.000000  
stock                0.000921   0.000000  
stole                0.000921   0.000000  
stomach              0.000921   0.000000  
stood                0.000921   0.000000  
stop                 0.000921   0.000000  
stopp                0.000921   0.000000  
straight             0.000921   0.000000  
strang               0.000921   0.000000  
stretcher            0.000921   0.000000  
string               0.000921   0.000000  
stuck                0.000921   0.000000  
studi                0.000921   0.000000  
stuff                0.000921   0.000000  
stump                0.000921   0.000000  
style                0.000921   0.000000  
su                   0.000921   0.000000  
